Subject	 StimName	 StimNum	 Rank	 Wins	 Loses	 Total
BFE_101	2101.jpg	1	4.663482e-01	3	4	7
BFE_101	2102.jpg	2	5.378452e-01	4	3	7
BFE_101	2103.jpg	3	7.445549e-01	5	2	7
BFE_101	2104.jpg	4	5.546891e-01	4	3	7
BFE_101	2105.jpg	5	2.783882e-01	2	5	7
BFE_101	2106.jpg	6	6.786642e-01	5	2	7
BFE_101	2107.jpg	7	2.808388e-01	1	6	7
BFE_101	2108.jpg	8	4.374017e-01	3	4	7
BFE_101	2109.jpg	9	6.814781e-01	5	2	7
BFE_101	2110.jpg	10	6.505025e-01	5	2	7
BFE_101	2111.jpg	11	3.094915e-01	2	5	7
BFE_101	2112.jpg	12	3.293065e-01	2	5	7
BFE_101	2113.jpg	13	5.399632e-01	4	3	7
BFE_101	2114.jpg	14	4.953457e-01	4	3	7
BFE_101	2115.jpg	15	5.470031e-01	4	3	7
BFE_101	2116.jpg	16	3.850466e-01	2	5	7
BFE_101	2117.jpg	17	1.815465e-01	1	6	7
BFE_101	2118.jpg	18	6.723990e-01	5	2	7
BFE_101	2119.jpg	19	3.787397e-01	2	5	7
BFE_101	2120.jpg	20	5.468827e-01	4	3	7
BFE_101	2121.jpg	21	4.931585e-01	4	3	7
BFE_101	2201.jpg	22	4.677581e-01	3	4	7
BFE_101	2202.jpg	23	4.425250e-01	3	4	7
BFE_101	2203.jpg	24	5.413836e-01	4	3	7
BFE_101	2204.jpg	25	3.970833e-01	2	5	7
BFE_101	2205.jpg	26	2.078112e-01	1	6	7
BFE_101	2206.jpg	27	8.094514e-01	6	1	7
BFE_101	2207.jpg	28	6.593836e-01	5	2	7
BFE_101	2208.jpg	29	6.306632e-01	5	2	7
BFE_101	2209.jpg	30	5.636095e-01	4	3	7
BFE_101	2210.jpg	31	1.571632e-01	0	7	7
BFE_101	2211.jpg	32	6.208104e-01	4	3	7
BFE_101	2212.jpg	33	3.541848e-01	2	5	7
BFE_101	2213.jpg	34	7.077081e-01	6	1	7
BFE_101	2214.jpg	35	5.870866e-01	4	3	7
BFE_101	2215.jpg	36	1.649748e-01	1	6	7
BFE_101	2216.jpg	37	6.617300e-01	5	2	7
BFE_101	2217.jpg	38	5.761635e-01	4	3	7
BFE_101	2218.jpg	39	4.638723e-01	3	4	7
BFE_101	2219.jpg	40	7.970436e-01	7	0	7
