Subject	 StimName	 StimNum	 Rank	 Wins	 Loses	 Total
BFE_104	1101.jpg	1	2.115447e-01	1	6	7
BFE_104	1102.jpg	2	5.398008e-01	4	3	7
BFE_104	1103.jpg	3	4.922727e-01	3	4	7
BFE_104	1104.jpg	4	4.996387e-01	3	4	7
BFE_104	1105.jpg	5	4.698927e-01	3	4	7
BFE_104	1106.jpg	6	4.525462e-01	3	4	7
BFE_104	1107.jpg	7	4.022882e-01	3	4	7
BFE_104	1108.jpg	8	4.721534e-01	4	3	7
BFE_104	1109.jpg	9	6.666755e-01	5	2	7
BFE_104	1110.jpg	10	6.749197e-01	5	2	7
BFE_104	1111.jpg	11	5.446817e-01	4	3	7
BFE_104	1112.jpg	12	4.726956e-01	3	4	7
BFE_104	1113.jpg	13	3.365786e-01	2	5	7
BFE_104	1114.jpg	14	5.343092e-01	4	3	7
BFE_104	1115.jpg	15	5.412387e-01	4	3	7
BFE_104	1116.jpg	16	5.355767e-01	4	3	7
BFE_104	1117.jpg	17	2.856996e-01	2	5	7
BFE_104	1118.jpg	18	5.730133e-01	4	3	7
BFE_104	1119.jpg	19	4.880820e-01	3	4	7
BFE_104	1120.jpg	20	4.347141e-01	3	4	7
BFE_104	1121.jpg	21	6.082039e-01	4	3	7
BFE_104	1201.jpg	22	7.283535e-01	5	2	7
BFE_104	1202.jpg	23	4.312292e-01	3	4	7
BFE_104	1203.jpg	24	3.901931e-01	3	4	7
BFE_104	1204.jpg	25	5.828792e-01	4	3	7
BFE_104	1205.jpg	26	4.052560e-01	3	4	7
BFE_104	1206.jpg	27	4.272809e-01	3	4	7
BFE_104	1207.jpg	28	6.288011e-01	5	2	7
BFE_104	1208.jpg	29	8.083446e-01	6	1	7
BFE_104	1209.jpg	30	4.100451e-01	3	4	7
BFE_104	1210.jpg	31	2.953311e-01	2	5	7
BFE_104	1211.jpg	32	4.739168e-01	3	4	7
BFE_104	1212.jpg	33	4.732073e-01	3	4	7
BFE_104	1213.jpg	34	7.063158e-01	5	2	7
BFE_104	1214.jpg	35	4.683845e-01	3	4	7
BFE_104	1215.jpg	36	5.671058e-01	4	3	7
BFE_104	1216.jpg	37	7.415987e-01	6	1	7
BFE_104	1217.jpg	38	4.253690e-01	3	4	7
BFE_104	1218.jpg	39	3.516772e-01	2	5	7
BFE_104	1219.jpg	40	4.481851e-01	3	4	7
