subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
BFE_104	0	2	02	2	1	2.018906e+00	1102.jpg	1103.jpg	14	18	1	i	1	0	870.58	0.54	0.49
BFE_104	0	2	02	2	2	8.025608e+00	2211.jpg	2205.jpg	54	50	1	u	2	1	503.86	0.55	0.65
BFE_104	0	2	02	2	3	1.102900e+01	2209.jpg	2216.jpg	49	47	1	i	2	0	732.48	0.66	0.67
BFE_104	0	2	02	2	4	1.401547e+01	1121.jpg	1207.jpg	8	7	1	i	1	0	794.02	0.61	0.63
BFE_104	0	2	02	2	5	1.701908e+01	2102.jpg	2209.jpg	58	49	0	u	2	0	622.40	0.52	0.66
BFE_104	0	2	02	2	6	2.102354e+01	2113.jpg	2115.jpg	56	55	1	i	2	0	993.94	0.54	0.54
BFE_104	0	2	02	2	7	2.901551e+01	2119.jpg	2110.jpg	60	59	1	u	6	1	865.97	0.51	0.52
BFE_104	0	2	02	2	8	3.402146e+01	2113.jpg	2201.jpg	56	52	1	u	2	1	636.03	0.54	0.60
BFE_104	0	2	02	2	9	3.902700e+01	2110.jpg	2202.jpg	59	61	0	i	6	1	566.48	0.52	0.50
BFE_104	0	2	02	2	10	4.203037e+01	2115.jpg	2211.jpg	55	54	0	i	2	1	963.11	0.54	0.55
BFE_104	0	2	02	2	11	4.501714e+01	1215.jpg	1115.jpg	11	13	1	i	1	0	736.34	0.57	0.54
BFE_104	0	2	02	2	12	5.102382e+01	2117.jpg	2217.jpg	78	44	0	i	4	1	729.66	0.22	0.75
BFE_104	0	2	02	2	13	5.502833e+01	1118.jpg	1215.jpg	10	11	0	i	1	1	661.17	0.57	0.57
BFE_104	0	2	02	2	14	5.803169e+01	2201.jpg	2208.jpg	52	57	0	i	2	1	585.79	0.60	0.52
BFE_104	0	2	02	2	15	6.302061e+01	2216.jpg	2113.jpg	47	56	0	i	2	1	508.87	0.67	0.54
BFE_104	0	2	02	2	16	7.002850e+01	1104.jpg	1207.jpg	17	7	1	u	1	1	556.98	0.50	0.63
BFE_104	0	2	02	2	17	7.303180e+01	1114.jpg	1207.jpg	16	7	1	u	1	1	737.68	0.53	0.63
BFE_104	0	2	02	2	18	8.202526e+01	1115.jpg	1204.jpg	13	9	0	i	1	1	792.22	0.54	0.58
BFE_104	0	2	02	2	19	8.502855e+01	1215.jpg	1116.jpg	11	15	1	i	1	0	828.93	0.57	0.54
BFE_104	0	2	02	2	20	9.101871e+01	1111.jpg	1102.jpg	12	14	0	i	1	1	974.77	0.54	0.54
BFE_104	0	2	02	2	21	9.602500e+01	1118.jpg	1121.jpg	10	8	0	i	1	1	1136.49	0.57	0.61
BFE_104	0	2	02	2	22	9.902763e+01	1213.jpg	1210.jpg	4	38	1	i	3	0	925.86	0.71	0.30
BFE_104	0	2	02	2	23	1.060188e+02	1215.jpg	1207.jpg	11	7	1	i	1	0	734.70	0.57	0.63
BFE_104	0	2	02	2	24	1.110244e+02	1121.jpg	1116.jpg	8	15	1	u	1	1	825.06	0.61	0.54
BFE_104	0	2	02	2	25	1.170312e+02	1104.jpg	1103.jpg	17	18	1	i	1	0	874.33	0.50	0.49
BFE_104	0	2	02	2	26	1.210189e+02	2115.jpg	2114.jpg	55	51	0	i	2	1	686.56	0.54	0.65
BFE_104	0	2	02	2	27	1.250235e+02	2112.jpg	2211.jpg	53	54	0	i	2	1	722.04	0.58	0.55
BFE_104	0	2	02	2	28	1.280268e+02	2103.jpg	2107.jpg	43	77	1	u	4	1	766.70	0.80	0.26
BFE_104	0	2	02	2	29	1.310302e+02	1103.jpg	1121.jpg	18	8	0	u	1	0	667.29	0.49	0.61
BFE_104	0	2	02	2	30	1.360191e+02	2201.jpg	2114.jpg	52	51	0	u	2	0	558.43	0.60	0.65
