subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
BFE_111	0	1	01	2	1	2.018869e+00	2120.jpg	2209.jpg	53	54	1	i	2	0	881.33	0.60	0.56
BFE_111	0	1	01	2	2	5.005658e+00	2210.jpg	2103.jpg	52	57	1	u	2	1	838.52	0.61	0.53
BFE_111	0	1	01	2	3	9.010017e+00	2218.jpg	2205.jpg	61	59	0	u	6	0	1098.17	0.45	0.50
BFE_111	0	1	01	2	4	1.501676e+01	1218.jpg	1215.jpg	7	16	1	u	1	1	875.42	0.66	0.54
BFE_111	0	1	01	2	5	2.100689e+01	1105.jpg	1218.jpg	14	7	0	i	1	1	797.31	0.57	0.66
BFE_111	0	1	01	2	6	2.601246e+01	2120.jpg	2216.jpg	53	56	1	i	2	0	807.73	0.60	0.55
BFE_111	0	1	01	2	7	3.001693e+01	1215.jpg	1219.jpg	16	13	0	i	1	1	787.25	0.54	0.58
BFE_111	0	1	01	2	8	3.500589e+01	1219.jpg	1210.jpg	13	11	1	i	1	0	766.30	0.58	0.61
BFE_111	0	1	01	2	9	4.101264e+01	1117.jpg	1209.jpg	15	8	1	u	1	1	951.55	0.55	0.64
BFE_111	0	1	01	2	10	4.401594e+01	1209.jpg	1216.jpg	8	10	0	i	1	1	812.26	0.64	0.61
BFE_111	0	1	01	2	11	4.701932e+01	1102.jpg	1120.jpg	19	20	1	i	5	0	856.87	0.52	0.49
BFE_111	0	1	01	2	12	5.100714e+01	2104.jpg	2102.jpg	55	48	1	u	2	1	965.03	0.56	0.67
BFE_111	0	1	01	2	13	5.601271e+01	2111.jpg	2213.jpg	49	50	0	i	2	1	823.46	0.66	0.65
BFE_111	0	1	01	2	14	5.901607e+01	1117.jpg	1105.jpg	15	14	1	u	1	1	996.11	0.55	0.57
BFE_111	0	1	01	2	15	6.201948e+01	1209.jpg	1218.jpg	8	7	0	i	1	1	752.71	0.64	0.66
BFE_111	0	1	01	2	16	6.600730e+01	2102.jpg	2210.jpg	48	52	0	i	2	1	524.89	0.67	0.61
BFE_111	0	1	01	2	17	8.000629e+01	2102.jpg	2120.jpg	48	53	0	i	2	1	981.90	0.67	0.60
BFE_111	0	1	01	2	18	8.801530e+01	1215.jpg	1216.jpg	16	10	0	i	1	1	740.91	0.54	0.61
BFE_111	0	1	01	2	19	9.400533e+01	1213.jpg	1217.jpg	37	3	0	i	3	1	758.87	0.23	0.87
BFE_111	0	1	01	2	20	9.700865e+01	2113.jpg	2120.jpg	51	53	0	i	2	1	1067.54	0.64	0.60
BFE_111	0	1	01	2	21	1.010132e+02	1205.jpg	1214.jpg	18	9	1	i	1	0	639.00	0.52	0.63
BFE_111	0	1	01	2	22	1.070200e+02	1210.jpg	1218.jpg	11	7	0	i	1	1	528.23	0.61	0.66
BFE_111	0	1	01	2	23	1.100066e+02	2207.jpg	2119.jpg	44	77	1	u	4	1	1093.58	0.72	0.30
BFE_111	0	1	01	2	24	1.130099e+02	1202.jpg	1113.jpg	22	21	1	i	5	0	978.28	0.46	0.49
BFE_111	0	1	01	2	25	1.160133e+02	2216.jpg	2213.jpg	56	50	0	u	2	0	710.89	0.55	0.65
BFE_111	0	1	01	2	26	1.230042e+02	2113.jpg	2211.jpg	51	58	0	i	2	1	863.99	0.64	0.51
BFE_111	0	1	01	2	27	1.260079e+02	2214.jpg	2111.jpg	47	49	1	u	2	1	1180.30	0.68	0.66
BFE_111	0	1	01	2	28	1.290112e+02	1107.jpg	1109.jpg	12	17	1	i	1	0	920.97	0.60	0.54
BFE_111	0	1	01	2	29	1.340169e+02	1215.jpg	1117.jpg	16	15	0	i	1	1	779.32	0.54	0.55
BFE_111	0	1	01	2	30	1.370201e+02	2214.jpg	2216.jpg	47	56	1	u	2	1	808.05	0.68	0.55
BFE_111	0	1	01	2	31	1.410080e+02	2207.jpg	2116.jpg	44	78	1	u	4	1	1004.21	0.72	0.25
BFE_111	0	1	01	2	32	1.470147e+02	1210.jpg	1117.jpg	11	15	0	i	1	1	917.49	0.61	0.55
BFE_111	0	1	01	2	33	1.500181e+02	1209.jpg	1107.jpg	8	12	0	i	1	1	986.09	0.64	0.60
BFE_111	0	1	01	2	34	1.570093e+02	1107.jpg	1214.jpg	12	9	1	u	1	1	914.91	0.60	0.63
BFE_111	0	1	01	2	35	1.620149e+02	2113.jpg	2210.jpg	51	52	0	i	2	1	821.34	0.64	0.61
BFE_111	0	1	01	2	36	1.660194e+02	1109.jpg	1218.jpg	17	7	0	i	1	1	680.83	0.54	0.66
BFE_111	0	1	01	2	37	1.690060e+02	2211.jpg	2103.jpg	58	57	1	u	2	1	830.17	0.51	0.53
BFE_111	0	1	01	2	38	1.720094e+02	2120.jpg	2111.jpg	53	49	1	u	2	1	874.74	0.60	0.66
BFE_111	0	1	01	2	39	1.820037e+02	1210.jpg	1107.jpg	11	12	0	u	1	0	976.53	0.61	0.60
BFE_111	0	1	01	2	40	1.930163e+02	2218.jpg	2110.jpg	61	62	0	u	6	0	787.88	0.45	0.44
BFE_111	0	1	01	2	41	1.980052e+02	2214.jpg	2103.jpg	47	57	1	u	2	1	719.03	0.68	0.53
BFE_111	0	1	01	2	42	2.070153e+02	2214.jpg	2209.jpg	47	54	1	u	2	1	980.88	0.68	0.56
BFE_111	0	1	01	2	43	2.100187e+02	1116.jpg	1217.jpg	38	3	0	i	3	1	1137.51	0.23	0.87
BFE_111	0	1	01	2	44	2.150076e+02	2213.jpg	2102.jpg	50	48	1	u	2	1	1124.59	0.65	0.67
