subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BFE_204	 2	 8	 1219.jpg	 1.352151e+03	 12	 999000	 120	 999000	 999	 1.353169e+03	 583.33	 583.33	 3.00	 40	 0.84	 
BFE_204	 2	 8	 1215.jpg	 1.355138e+03	 11	 9.360060e+02	 110	 5.833916e+02	 98	 1.356156e+03	 600.00	 583.33	 11.00	 36	 0.66	 
BFE_204	 2	 8	 2218.jpg	 1.359142e+03	 24	 999000	 240	 999000	 999	 1.360160e+03	 600.00	 583.33	 43.00	 39	 0.87	 
BFE_204	 2	 8	 1206.jpg	 1.361145e+03	 12	 999000	 120	 999000	 999	 1.362162e+03	 600.00	 583.33	 10.00	 27	 0.67	 
BFE_204	 2	 8	 2204.jpg	 1.363147e+03	 24	 999000	 240	 999000	 999	 1.364165e+03	 600.00	 583.33	 60.00	 25	 0.51	 
BFE_204	 2	 8	 2110.jpg	 1.367135e+03	 24	 999000	 240	 999000	 999	 1.368153e+03	 600.00	 583.33	 77.00	 10	 0.23	 
BFE_204	 2	 8	 1214.jpg	 1.369137e+03	 12	 999000	 120	 999000	 999	 1.370155e+03	 600.00	 583.33	 12.00	 35	 0.64	 
BFE_204	 2	 8	 1204.jpg	 1.374143e+03	 11	 1.019421e+03	 1100	 6.000347e+02	 98	 1.375160e+03	 550.00	 583.33	 9.00	 25	 0.68	 
BFE_204	 2	 8	 2216.jpg	 1.376145e+03	 24	 999000	 240	 999000	 999	 1.377163e+03	 550.00	 583.33	 52.00	 37	 0.62	 
BFE_204	 2	 8	 2209.jpg	 1.379148e+03	 24	 999000	 240	 999000	 999	 1.380166e+03	 550.00	 583.33	 44.00	 30	 0.84	 
BFE_204	 2	 8	 1101.jpg	 1.382135e+03	 12	 999000	 120	 999000	 999	 1.383153e+03	 550.00	 583.33	 7.00	 1	 0.72	 
BFE_204	 2	 8	 1117.jpg	 1.386139e+03	 12	 999000	 120	 999000	 999	 1.387157e+03	 550.00	 583.33	 38.00	 17	 0.15	 
BFE_204	 2	 8	 1209.jpg	 1.389143e+03	 11	 1.195171e+03	 1100	 5.500310e+02	 98	 1.390161e+03	 500.00	 583.33	 8.00	 30	 0.69	 
BFE_204	 2	 8	 2214.jpg	 1.391145e+03	 24	 999000	 240	 999000	 999	 1.392163e+03	 500.00	 583.33	 47.00	 35	 0.78	 
BFE_204	 2	 8	 1111.jpg	 1.394148e+03	 12	 999000	 120	 999000	 999	 1.395166e+03	 500.00	 583.33	 18.00	 11	 0.56	 
BFE_204	 2	 8	 2203.jpg	 1.398136e+03	 24	 999000	 240	 999000	 999	 1.399154e+03	 500.00	 583.33	 53.00	 24	 0.59	 
BFE_204	 2	 8	 1208.jpg	 1.401140e+03	 11	 8.704597e+02	 110	 5.000323e+02	 98	 1.402157e+03	 516.67	 583.33	 14.00	 29	 0.60	 
BFE_204	 2	 8	 1120.jpg	 1.403142e+03	 12	 999000	 120	 999000	 999	 1.404160e+03	 516.67	 583.33	 15.00	 20	 0.59	 
BFE_204	 2	 8	 2219.jpg	 1.405144e+03	 22	 1.097993e+03	 2200	 5.833793e+02	 98	 1.406162e+03	 516.67	 533.33	 51.00	 40	 0.65	 
BFE_204	 2	 8	 2215.jpg	 1.410133e+03	 24	 999000	 240	 999000	 999	 1.411151e+03	 516.67	 533.33	 58.00	 36	 0.54	 
BFE_204	 2	 8	 2103.jpg	 1.414137e+03	 24	 999000	 240	 999000	 999	 1.415155e+03	 516.67	 533.33	 62.00	 3	 0.47	 
BFE_204	 2	 8	 2208.jpg	 1.418142e+03	 22	 9.080508e+02	 220	 5.333697e+02	 98	 1.419160e+03	 516.67	 550.00	 57.00	 29	 0.55	 
BFE_204	 2	 8	 2101.jpg	 1.424149e+03	 22	 7.733155e+02	 220	 5.500403e+02	 98	 1.425166e+03	 516.67	 566.67	 54.00	 1	 0.58	 
BFE_204	 2	 8	 1108.jpg	 1.426134e+03	 11	 8.437469e+02	 110	 5.167005e+02	 98	 1.427152e+03	 533.33	 566.67	 16.00	 8	 0.59	 
BFE_204	 2	 8	 2210.jpg	 1.428137e+03	 24	 6.734582e+02	 24	 999000	 98	 1.429154e+03	 533.33	 566.67	 59.00	 31	 0.53	 
BFE_204	 2	 8	 2202.jpg	 1.430139e+03	 22	 9.272557e+02	 220	 5.666998e+02	 98	 1.431156e+03	 533.33	 583.33	 48.00	 23	 0.75	 
BFE_204	 2	 8	 2206.jpg	 1.432141e+03	 24	 999000	 240	 999000	 999	 1.433159e+03	 533.33	 583.33	 50.00	 27	 0.68	 
BFE_204	 2	 8	 2106.jpg	 1.436146e+03	 22	 9.764333e+02	 220	 5.833656e+02	 98	 1.437163e+03	 533.33	 600.00	 56.00	 6	 0.56	 
BFE_204	 2	 8	 1205.jpg	 1.438148e+03	 11	 8.062582e+02	 110	 5.333601e+02	 98	 1.439166e+03	 550.00	 600.00	 17.00	 26	 0.56	 
BFE_204	 2	 8	 2108.jpg	 1.442136e+03	 22	 8.665053e+02	 220	 6.000335e+02	 98	 1.443153e+03	 550.00	 616.67	 49.00	 8	 0.72	 
BFE_204	 2	 8	 1203.jpg	 1.444138e+03	 12	 999000	 120	 999000	 999	 1.445156e+03	 550.00	 616.67	 20.00	 24	 0.52	 
BFE_204	 2	 8	 1109.jpg	 1.446140e+03	 12	 999000	 120	 999000	 999	 1.447158e+03	 550.00	 616.67	 19.00	 9	 0.55	 
BFE_204	 2	 8	 2212.jpg	 1.448142e+03	 24	 999000	 240	 999000	 999	 1.449160e+03	 550.00	 616.67	 61.00	 33	 0.50	 
BFE_204	 2	 8	 1218.jpg	 1.453148e+03	 12	 999000	 120	 999000	 999	 1.454166e+03	 550.00	 616.67	 4.00	 39	 0.77	 
BFE_204	 2	 8	 1118.jpg	 1.455133e+03	 12	 999000	 120	 999000	 999	 1.456151e+03	 550.00	 616.67	 37.00	 18	 0.15	 
BFE_204	 2	 8	 1210.jpg	 1.457136e+03	 12	 999000	 120	 999000	 999	 1.458153e+03	 550.00	 616.67	 22.00	 31	 0.49	 
BFE_204	 2	 8	 2117.jpg	 1.460139e+03	 24	 999000	 240	 999000	 999	 1.461157e+03	 550.00	 616.67	 78.00	 17	 0.22	 
BFE_204	 2	 8	 2120.jpg	 1.467147e+03	 24	 999000	 240	 999000	 999	 1.468165e+03	 550.00	 616.67	 55.00	 20	 0.57	 
BFE_204	 2	 8	 1217.jpg	 1.471135e+03	 12	 999000	 120	 999000	 999	 1.472152e+03	 550.00	 616.67	 13.00	 38	 0.61	 
BFE_204	 2	 8	 1207.jpg	 1.478143e+03	 12	 999000	 120	 999000	 999	 1.479160e+03	 550.00	 616.67	 21.00	 28	 0.51	 
