subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BFE_302	 2	 12	 2201.jpg	 1.469717e+03	 22	 1.037463e+03	 2200	 7.167098e+02	 98	 1.470734e+03	 716.67	 666.67	 48.00	 22	 0.69	 
BFE_302	 2	 12	 1203.jpg	 1.472703e+03	 12	 999000	 120	 999000	 999	 1.473721e+03	 716.67	 666.67	 38.00	 24	 0.16	 
BFE_302	 2	 12	 1216.jpg	 1.476708e+03	 12	 999000	 120	 999000	 999	 1.477726e+03	 716.67	 666.67	 12.00	 37	 0.64	 
BFE_302	 2	 12	 1205.jpg	 1.478710e+03	 11	 1.020099e+03	 1100	 7.167089e+02	 98	 1.479728e+03	 666.67	 666.67	 9.00	 26	 0.72	 
BFE_302	 2	 12	 1204.jpg	 1.480712e+03	 12	 999000	 120	 999000	 999	 1.481730e+03	 666.67	 666.67	 7.00	 25	 0.72	 
BFE_302	 2	 12	 1208.jpg	 1.484700e+03	 11	 9.259040e+02	 110	 6.667034e+02	 98	 1.485718e+03	 683.33	 666.67	 14.00	 29	 0.62	 
BFE_302	 2	 12	 2204.jpg	 1.486702e+03	 22	 9.076931e+02	 220	 6.667016e+02	 98	 1.487720e+03	 683.33	 683.33	 49.00	 25	 0.69	 
BFE_302	 2	 12	 1120.jpg	 1.491708e+03	 12	 999000	 120	 999000	 999	 1.492726e+03	 683.33	 683.33	 21.00	 20	 0.50	 
BFE_302	 2	 12	 1219.jpg	 1.493710e+03	 12	 999000	 120	 999000	 999	 1.494728e+03	 683.33	 683.33	 4.00	 40	 0.84	 
BFE_302	 2	 12	 2112.jpg	 1.496697e+03	 24	 999000	 240	 999000	 999	 1.497715e+03	 683.33	 683.33	 77.00	 12	 0.16	 
BFE_302	 2	 12	 2106.jpg	 1.499700e+03	 22	 9.178140e+02	 220	 6.833668e+02	 98	 1.500718e+03	 683.33	 700.00	 57.00	 6	 0.62	 
BFE_302	 2	 12	 1218.jpg	 1.503705e+03	 11	 9.213747e+02	 110	 6.833623e+02	 98	 1.504723e+03	 700.00	 700.00	 16.00	 39	 0.56	 
BFE_302	 2	 12	 2202.jpg	 1.506708e+03	 24	 999000	 240	 999000	 999	 1.507726e+03	 700.00	 700.00	 60.00	 23	 0.57	 
BFE_302	 2	 12	 2207.jpg	 1.508710e+03	 24	 999000	 240	 999000	 999	 1.509728e+03	 700.00	 700.00	 62.00	 28	 0.51	 
BFE_302	 2	 12	 1102.jpg	 1.511697e+03	 12	 999000	 120	 999000	 999	 1.512715e+03	 700.00	 700.00	 19.00	 2	 0.52	 
BFE_302	 2	 12	 2117.jpg	 1.515702e+03	 24	 999000	 240	 999000	 999	 1.516719e+03	 700.00	 700.00	 78.00	 17	 0.16	 
BFE_302	 2	 12	 1106.jpg	 1.518705e+03	 12	 999000	 120	 999000	 999	 1.519723e+03	 700.00	 700.00	 20.00	 6	 0.50	 
BFE_302	 2	 12	 2217.jpg	 1.520707e+03	 24	 999000	 240	 999000	 999	 1.521725e+03	 700.00	 700.00	 55.00	 38	 0.64	 
BFE_302	 2	 12	 1115.jpg	 1.522709e+03	 12	 999000	 120	 999000	 999	 1.523727e+03	 700.00	 700.00	 10.00	 15	 0.69	 
BFE_302	 2	 12	 2215.jpg	 1.527698e+03	 24	 999000	 240	 999000	 999	 1.528716e+03	 700.00	 700.00	 58.00	 36	 0.60	 
BFE_302	 2	 12	 1202.jpg	 1.531703e+03	 11	 9.793499e+02	 110	 7.000287e+02	 98	 1.532721e+03	 716.67	 700.00	 17.00	 23	 0.54	 
BFE_302	 2	 12	 1109.jpg	 1.535707e+03	 12	 999000	 120	 999000	 999	 1.536725e+03	 716.67	 700.00	 15.00	 9	 0.62	 
BFE_302	 2	 12	 2208.jpg	 1.541697e+03	 24	 999000	 240	 999000	 999	 1.542715e+03	 716.67	 700.00	 52.00	 29	 0.66	 
BFE_302	 2	 12	 2205.jpg	 1.543700e+03	 24	 999000	 240	 999000	 999	 1.544717e+03	 716.67	 700.00	 44.00	 26	 0.77	 
BFE_302	 2	 12	 2101.jpg	 1.545702e+03	 22	 1.052292e+03	 2200	 7.000420e+02	 98	 1.546720e+03	 716.67	 650.00	 51.00	 1	 0.66	 
BFE_302	 2	 12	 2115.jpg	 1.547704e+03	 24	 999000	 240	 999000	 999	 1.548722e+03	 716.67	 650.00	 53.00	 15	 0.65	 
BFE_302	 2	 12	 1217.jpg	 1.549706e+03	 12	 999000	 120	 999000	 999	 1.550724e+03	 716.67	 650.00	 18.00	 38	 0.52	 
BFE_302	 2	 12	 2219.jpg	 1.553711e+03	 24	 999000	 240	 999000	 999	 1.554729e+03	 716.67	 650.00	 43.00	 40	 0.82	 
