subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BFE_336	 2	 16	 2107.jpg	 1.192045e+03	 24	 999000	 240	 999000	 999	 1.193062e+03	 716.67	 650.00	 60.00	 7	 0.49	 
BFE_336	 2	 16	 1210.jpg	 1.197034e+03	 12	 999000	 120	 999000	 999	 1.198051e+03	 716.67	 650.00	 37.00	 31	 0.34	 
BFE_336	 2	 16	 1110.jpg	 1.199036e+03	 12	 999000	 120	 999000	 999	 1.200054e+03	 716.67	 650.00	 18.00	 10	 0.50	 
BFE_336	 2	 16	 1219.jpg	 1.201038e+03	 12	 999000	 120	 999000	 999	 1.202056e+03	 716.67	 650.00	 19.00	 40	 0.50	 
BFE_336	 2	 16	 1218.jpg	 1.207045e+03	 12	 999000	 120	 999000	 999	 1.208063e+03	 716.67	 650.00	 4.00	 39	 0.73	 
BFE_336	 2	 16	 2101.jpg	 1.209030e+03	 24	 999000	 240	 999000	 999	 1.210048e+03	 716.67	 650.00	 53.00	 1	 0.63	 
BFE_336	 2	 16	 2215.jpg	 1.212034e+03	 24	 999000	 240	 999000	 999	 1.213052e+03	 716.67	 650.00	 78.00	 36	 0.32	 
BFE_336	 2	 16	 1203.jpg	 1.214036e+03	 11	 9.263103e+02	 110	 7.167170e+02	 98	 1.215054e+03	 733.33	 650.00	 16.00	 24	 0.51	 
BFE_336	 2	 16	 2207.jpg	 1.218040e+03	 22	 9.218202e+02	 220	 6.500477e+02	 98	 1.219058e+03	 733.33	 666.67	 57.00	 28	 0.53	 
BFE_336	 2	 16	 2106.jpg	 1.220043e+03	 24	 999000	 240	 999000	 999	 1.221061e+03	 733.33	 666.67	 55.00	 6	 0.60	 
BFE_336	 2	 16	 1215.jpg	 1.225032e+03	 12	 999000	 120	 999000	 999	 1.226049e+03	 733.33	 666.67	 7.00	 36	 0.68	 
BFE_336	 2	 16	 1101.jpg	 1.232040e+03	 11	 9.708212e+02	 110	 7.333666e+02	 98	 1.233057e+03	 750.00	 666.67	 14.00	 1	 0.54	 
BFE_336	 2	 16	 2219.jpg	 1.234042e+03	 22	 9.685909e+02	 220	 6.667105e+02	 98	 1.235060e+03	 750.00	 683.33	 54.00	 40	 0.61	 
BFE_336	 2	 16	 2116.jpg	 1.237045e+03	 24	 999000	 240	 999000	 999	 1.238063e+03	 750.00	 683.33	 52.00	 16	 0.66	 
BFE_336	 2	 16	 1205.jpg	 1.240032e+03	 12	 999000	 120	 999000	 999	 1.241050e+03	 750.00	 683.33	 20.00	 26	 0.48	 
BFE_336	 2	 16	 1201.jpg	 1.244036e+03	 12	 999000	 120	 999000	 999	 1.245054e+03	 750.00	 683.33	 10.00	 22	 0.63	 
BFE_336	 2	 16	 1109.jpg	 1.248041e+03	 11	 1.057502e+03	 1100	 7.500363e+02	 98	 1.249059e+03	 700.00	 683.33	 17.00	 9	 0.51	 
BFE_336	 2	 16	 1204.jpg	 1.252028e+03	 12	 999000	 120	 999000	 999	 1.253046e+03	 700.00	 683.33	 38.00	 25	 0.33	 
BFE_336	 2	 16	 1216.jpg	 1.255032e+03	 12	 999000	 120	 999000	 999	 1.256050e+03	 700.00	 683.33	 3.00	 37	 0.75	 
BFE_336	 2	 16	 2203.jpg	 1.261039e+03	 22	 9.475907e+02	 220	 6.833740e+02	 98	 1.262057e+03	 700.00	 700.00	 56.00	 24	 0.56	 
BFE_336	 2	 16	 2113.jpg	 1.263041e+03	 24	 999000	 240	 999000	 999	 1.264059e+03	 700.00	 700.00	 61.00	 13	 0.48	 
BFE_336	 2	 16	 2103.jpg	 1.266044e+03	 24	 999000	 240	 999000	 999	 1.267062e+03	 700.00	 700.00	 43.00	 3	 0.79	 
BFE_336	 2	 16	 2118.jpg	 1.268030e+03	 24	 999000	 240	 999000	 999	 1.269048e+03	 700.00	 700.00	 47.00	 18	 0.76	 
BFE_336	 2	 16	 1103.jpg	 1.270032e+03	 12	 999000	 120	 999000	 999	 1.271050e+03	 700.00	 700.00	 12.00	 3	 0.57	 
BFE_336	 2	 16	 1116.jpg	 1.272034e+03	 12	 999000	 120	 999000	 999	 1.273052e+03	 700.00	 700.00	 22.00	 16	 0.44	 
BFE_336	 2	 16	 2212.jpg	 1.275038e+03	 24	 999000	 240	 999000	 999	 1.276056e+03	 700.00	 700.00	 59.00	 33	 0.50	 
BFE_336	 2	 16	 1113.jpg	 1.279042e+03	 11	 1.024085e+03	 1100	 7.000542e+02	 98	 1.280060e+03	 650.00	 700.00	 8.00	 13	 0.68	 
BFE_336	 2	 16	 2206.jpg	 1.281045e+03	 22	 9.418601e+02	 220	 7.000559e+02	 98	 1.282062e+03	 650.00	 716.67	 48.00	 27	 0.75	 
BFE_336	 2	 16	 2213.jpg	 1.283030e+03	 24	 999000	 240	 999000	 999	 1.284048e+03	 650.00	 716.67	 58.00	 34	 0.52	 
BFE_336	 2	 16	 2218.jpg	 1.285032e+03	 22	 9.619955e+02	 220	 7.167137e+02	 98	 1.286050e+03	 650.00	 733.33	 51.00	 39	 0.66	 
BFE_336	 2	 16	 2111.jpg	 1.287035e+03	 24	 999000	 240	 999000	 999	 1.288052e+03	 650.00	 733.33	 44.00	 11	 0.78	 
BFE_336	 2	 16	 1214.jpg	 1.289037e+03	 11	 8.935115e+02	 110	 6.500314e+02	 98	 1.290055e+03	 666.67	 733.33	 11.00	 35	 0.60	 
