subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
BFE_338	0	2	01	1	1	2.018766e+00	1121.jpg	1103.jpg	17	10	1	i	1	0	832.52	0.52	0.70
BFE_338	0	2	01	1	2	5.022153e+00	1217.jpg	1210.jpg	15	16	0	i	1	1	1005.13	0.59	0.58
BFE_338	0	2	01	1	3	9.009942e+00	1215.jpg	1121.jpg	18	17	0	i	1	1	913.35	0.51	0.52
BFE_338	0	2	01	1	4	1.501671e+01	2208.jpg	2103.jpg	54	50	1	i	2	0	1114.58	0.62	0.71
BFE_338	0	2	01	1	5	2.100649e+01	2219.jpg	2204.jpg	47	48	0	u	2	0	924.82	0.73	0.72
BFE_338	0	2	01	1	6	2.601236e+01	2114.jpg	2103.jpg	56	50	1	i	2	0	1142.94	0.60	0.71
BFE_338	0	2	01	1	7	3.001685e+01	2119.jpg	2218.jpg	78	44	0	i	4	1	754.45	0.16	0.79
BFE_338	0	2	01	1	8	3.500552e+01	2204.jpg	2206.jpg	48	52	1	i	2	0	829.78	0.72	0.69
BFE_338	0	2	01	1	9	4.101260e+01	1112.jpg	1203.jpg	37	4	0	i	3	1	686.69	0.17	0.80
BFE_338	0	2	01	1	10	4.401588e+01	1215.jpg	1218.jpg	18	9	0	i	1	1	771.42	0.51	0.70
BFE_338	0	2	01	1	11	4.701928e+01	1213.jpg	1202.jpg	13	14	0	i	1	1	936.00	0.64	0.62
BFE_338	0	2	01	1	12	5.100706e+01	1202.jpg	1217.jpg	14	15	1	u	1	1	828.24	0.62	0.59
BFE_338	0	2	01	1	13	5.601264e+01	2113.jpg	2110.jpg	57	55	1	i	2	0	1150.69	0.57	0.60
BFE_338	0	2	01	1	14	5.901599e+01	1210.jpg	1204.jpg	16	12	1	i	1	0	987.34	0.58	0.70
BFE_338	0	2	01	1	15	6.201939e+01	2219.jpg	2121.jpg	47	49	0	u	2	0	1095.91	0.73	0.72
BFE_338	0	2	01	1	16	6.600728e+01	1111.jpg	1217.jpg	11	15	1	i	1	0	980.00	0.70	0.59
BFE_338	0	2	01	1	17	8.000589e+01	1103.jpg	1210.jpg	10	16	0	u	1	0	1149.42	0.70	0.58
BFE_338	0	2	01	1	18	8.801523e+01	1108.jpg	1205.jpg	38	3	0	i	3	1	868.08	0.16	0.80
BFE_338	0	2	01	1	19	9.402195e+01	1213.jpg	1121.jpg	13	17	0	i	1	1	925.34	0.64	0.52
BFE_338	0	2	01	1	20	9.700865e+01	1204.jpg	1218.jpg	12	9	0	x	1	999	999000.00	0.70	0.70
BFE_338	0	2	01	1	21	1.010132e+02	2213.jpg	2217.jpg	51	58	1	u	2	1	1390.13	0.70	0.57
BFE_338	0	2	01	1	22	1.070199e+02	1103.jpg	1111.jpg	10	11	0	u	1	0	911.39	0.70	0.70
BFE_338	0	2	01	1	23	1.100062e+02	2204.jpg	2209.jpg	48	53	1	i	2	0	1197.14	0.72	0.65
BFE_338	0	2	01	1	24	1.130099e+02	2208.jpg	2209.jpg	54	53	1	i	2	0	953.46	0.62	0.65
BFE_338	0	2	01	1	25	1.160133e+02	1201.jpg	1103.jpg	8	10	1	u	1	1	709.99	0.72	0.70
BFE_338	0	2	01	1	26	1.230212e+02	2110.jpg	2208.jpg	55	54	0	u	2	0	966.14	0.60	0.62
BFE_338	0	2	01	1	27	1.260077e+02	2113.jpg	2219.jpg	57	47	1	i	2	0	971.56	0.57	0.73
BFE_338	0	2	01	1	28	1.290112e+02	1202.jpg	1204.jpg	14	12	1	i	1	0	832.10	0.62	0.70
BFE_338	0	2	01	1	29	1.340167e+02	2110.jpg	2213.jpg	55	51	0	i	2	1	818.60	0.60	0.70
BFE_338	0	2	01	1	30	1.370202e+02	2214.jpg	2202.jpg	61	59	1	x	6	999	999000.00	0.52	0.55
BFE_338	0	2	01	1	31	1.410079e+02	2114.jpg	2219.jpg	56	47	1	i	2	0	875.38	0.60	0.73
BFE_338	0	2	01	1	32	1.470147e+02	1207.jpg	1218.jpg	7	9	0	u	1	0	1292.60	0.73	0.70
BFE_338	0	2	01	1	33	1.500180e+02	1214.jpg	1120.jpg	19	20	0	u	5	0	1073.25	0.51	0.49
BFE_338	0	2	01	1	34	1.570092e+02	2121.jpg	2110.jpg	49	55	1	u	2	1	850.09	0.72	0.60
BFE_338	0	2	01	1	35	1.620148e+02	1213.jpg	1111.jpg	13	11	0	u	1	0	1068.49	0.64	0.70
BFE_338	0	2	01	1	36	1.660193e+02	2209.jpg	2114.jpg	53	56	0	u	2	0	984.00	0.65	0.60
BFE_338	0	2	01	1	37	1.690061e+02	1121.jpg	1207.jpg	17	7	1	u	1	1	829.18	0.52	0.73
BFE_338	0	2	01	1	38	1.720093e+02	2213.jpg	2206.jpg	51	52	1	u	2	1	737.95	0.70	0.69
BFE_338	0	2	01	1	39	1.820205e+02	2206.jpg	2114.jpg	52	56	0	u	2	0	878.81	0.69	0.60
BFE_338	0	2	01	1	40	1.930163e+02	2218.jpg	2108.jpg	44	77	1	u	4	1	915.02	0.79	0.19
BFE_338	0	2	01	1	41	1.980219e+02	2209.jpg	2213.jpg	53	51	0	i	2	1	1005.41	0.65	0.70
BFE_338	0	2	01	1	42	2.070153e+02	1209.jpg	1106.jpg	22	21	0	u	5	0	987.96	0.46	0.48
BFE_338	0	2	01	1	43	2.100186e+02	1201.jpg	1213.jpg	8	13	1	i	1	0	1264.69	0.72	0.64
BFE_338	0	2	01	1	44	2.150075e+02	2102.jpg	2202.jpg	60	59	1	u	6	1	987.77	0.53	0.55
