Subject	StimName	StimNum	Rank	Wins	Loses	Total
BFE_340	1101.jpg	1	8.195050e-02	1	13	14
BFE_340	1102.jpg	2	8.248197e-01	11	2	13
BFE_340	1103.jpg	3	8.883555e-01	14	0	14
BFE_340	1104.jpg	4	6.457821e-01	9	5	14
BFE_340	1105.jpg	5	6.062134e-01	9	5	14
BFE_340	1106.jpg	6	6.992570e-01	12	2	14
BFE_340	1107.jpg	7	5.089935e-01	8	6	14
BFE_340	1108.jpg	8	2.991506e-01	5	9	14
BFE_340	1109.jpg	9	7.487779e-01	10	4	14
BFE_340	1110.jpg	10	3.487125e-01	5	9	14
BFE_340	1111.jpg	11	2.711678e-01	4	9	13
BFE_340	1112.jpg	12	2.257110e-01	2	11	13
BFE_340	1113.jpg	13	1.036049e+00	14	0	14
BFE_340	1114.jpg	14	8.325063e-01	13	1	14
BFE_340	1115.jpg	15	8.761573e-01	12	2	14
BFE_340	1116.jpg	16	2.767289e-01	4	10	14
BFE_340	1117.jpg	17	9.576266e-01	14	0	14
BFE_340	1118.jpg	18	7.219571e-01	12	2	14
BFE_340	1119.jpg	19	1.574714e-01	1	13	14
BFE_340	1120.jpg	20	6.064418e-01	9	5	14
BFE_340	1121.jpg	21	8.325849e-01	13	1	14
BFE_340	1201.jpg	22	8.459812e-01	11	3	14
BFE_340	1202.jpg	23	6.281838e-01	9	4	13
BFE_340	1203.jpg	24	1.107555e-01	1	13	14
BFE_340	1204.jpg	25	5.574724e-01	7	7	14
BFE_340	1205.jpg	26	7.729325e-01	11	3	14
BFE_340	1206.jpg	27	7.011222e-01	11	3	14
BFE_340	1207.jpg	28	2.270880e-01	1	13	14
BFE_340	1208.jpg	29	7.360744e-02	1	13	14
BFE_340	1209.jpg	30	4.448480e-01	6	8	14
BFE_340	1210.jpg	31	4.154895e-01	5	9	14
BFE_340	1211.jpg	32	4.406331e-01	7	7	14
BFE_340	1212.jpg	33	2.854499e-01	2	10	12
BFE_340	1213.jpg	34	7.119703e-01	10	4	14
BFE_340	1214.jpg	35	5.329256e-01	7	7	14
BFE_340	1215.jpg	36	4.950379e-01	7	7	14
BFE_340	1216.jpg	37	9.219147e-01	13	1	14
BFE_340	1217.jpg	38	7.172366e-01	11	3	14
BFE_340	1218.jpg	39	5.635613e-01	8	6	14
BFE_340	1219.jpg	40	6.771639e-01	8	6	14
BFE_340	2101.jpg	41	1.450778e-01	0	14	14
BFE_340	2102.jpg	42	5.219494e-01	7	7	14
BFE_340	2103.jpg	43	8.014188e-01	10	4	14
BFE_340	2104.jpg	44	7.101697e-01	12	2	14
BFE_340	2105.jpg	45	5.919633e-01	8	6	14
BFE_340	2106.jpg	46	4.816653e-01	6	8	14
BFE_340	2107.jpg	47	3.336613e-01	5	9	14
BFE_340	2108.jpg	48	4.407786e-02	0	14	14
BFE_340	2109.jpg	49	6.732068e-01	10	4	14
BFE_340	2110.jpg	50	2.327183e-01	2	12	14
BFE_340	2111.jpg	51	2.810355e-01	3	10	13
BFE_340	2112.jpg	52	4.371402e-02	0	14	14
BFE_340	2113.jpg	53	7.445408e-01	10	4	14
BFE_340	2114.jpg	54	4.365022e-01	7	6	13
BFE_340	2115.jpg	55	6.667244e-01	9	4	13
BFE_340	2116.jpg	56	4.925970e-01	7	6	13
BFE_340	2117.jpg	57	5.023994e-01	8	6	14
BFE_340	2118.jpg	58	3.161528e-01	5	9	14
BFE_340	2119.jpg	59	2.698191e-01	4	10	14
BFE_340	2120.jpg	60	2.314641e-01	3	11	14
BFE_340	2121.jpg	61	8.812927e-01	12	2	14
BFE_340	2201.jpg	62	6.912962e-01	8	5	13
BFE_340	2202.jpg	63	5.200613e-01	7	6	13
BFE_340	2203.jpg	64	2.393916e-01	2	11	13
BFE_340	2204.jpg	65	4.317424e-01	6	8	14
BFE_340	2205.jpg	66	4.629197e-01	6	8	14
BFE_340	2206.jpg	67	4.367781e-01	7	7	14
BFE_340	2207.jpg	68	1.176313e-01	2	12	14
BFE_340	2208.jpg	69	9.863791e-02	1	13	14
BFE_340	2209.jpg	70	4.907776e-01	8	6	14
BFE_340	2210.jpg	71	2.686999e-01	2	11	13
BFE_340	2211.jpg	72	6.414574e-01	10	4	14
BFE_340	2212.jpg	73	1.587767e-01	1	12	13
BFE_340	2213.jpg	74	3.795851e-01	5	9	14
BFE_340	2214.jpg	75	4.974085e-01	5	7	12
BFE_340	2215.jpg	76	4.115678e-01	5	9	14
BFE_340	2216.jpg	77	8.017136e-01	12	2	14
BFE_340	2217.jpg	78	4.590671e-01	6	8	14
BFE_340	2218.jpg	79	4.240450e-01	6	8	14
BFE_340	2219.jpg	80	4.965036e-01	6	7	13
