Subject	 StimName	 StimNum	 Rank	 Wins	 Loses	 Total
BFE_347	1101.jpg	1	1.255398e-01	0	7	7
BFE_347	1102.jpg	2	3.899107e-01	3	4	7
BFE_347	1103.jpg	3	2.078410e-01	1	6	7
BFE_347	1104.jpg	4	3.864302e-01	2	5	7
BFE_347	1105.jpg	5	8.812379e-02	0	7	7
BFE_347	1106.jpg	6	3.527426e-01	2	5	7
BFE_347	1107.jpg	7	4.823638e-01	4	3	7
BFE_347	1108.jpg	8	1.886349e-01	0	7	7
BFE_347	1109.jpg	9	5.953184e-01	5	2	7
BFE_347	1110.jpg	10	2.610421e-01	1	6	7
BFE_347	1111.jpg	11	6.270309e-01	5	2	7
BFE_347	1112.jpg	12	2.949500e-01	1	6	7
BFE_347	1113.jpg	13	2.501607e-01	1	6	7
BFE_347	1114.jpg	14	3.465399e-01	2	5	7
BFE_347	1115.jpg	15	1.110496e-01	0	7	7
BFE_347	1116.jpg	16	5.741323e-01	5	2	7
BFE_347	1117.jpg	17	3.653610e-01	3	4	7
BFE_347	1118.jpg	18	2.814675e-01	1	6	7
BFE_347	1119.jpg	19	2.394161e-01	2	5	7
BFE_347	1120.jpg	20	2.433666e-01	1	6	7
BFE_347	1121.jpg	21	4.841231e-01	3	4	7
BFE_347	1201.jpg	22	4.791619e-01	2	5	7
BFE_347	1202.jpg	23	8.538008e-01	7	0	7
BFE_347	1203.jpg	24	7.079241e-01	6	1	7
BFE_347	1204.jpg	25	7.837835e-01	6	1	7
BFE_347	1205.jpg	26	5.425927e-01	4	3	7
BFE_347	1206.jpg	27	8.541104e-01	7	0	7
BFE_347	1207.jpg	28	7.114585e-01	6	1	7
BFE_347	1208.jpg	29	6.762381e-01	5	2	7
BFE_347	1209.jpg	30	6.806576e-01	5	2	7
BFE_347	1210.jpg	31	5.875648e-01	4	3	7
BFE_347	1211.jpg	32	7.036462e-01	5	2	7
BFE_347	1212.jpg	33	4.773270e-01	3	4	7
BFE_347	1213.jpg	34	6.521689e-01	5	2	7
BFE_347	1214.jpg	35	9.110614e-01	7	0	7
BFE_347	1215.jpg	36	6.798294e-01	6	1	7
BFE_347	1216.jpg	37	8.725173e-01	6	1	7
BFE_347	1217.jpg	38	6.245293e-01	5	2	7
BFE_347	1218.jpg	39	6.090690e-01	4	3	7
BFE_347	1219.jpg	40	6.970140e-01	5	2	7
