Subject	StimName	StimNum	Rank	Wins	Loses	Total
bfe_341	1101.jpg	1	4.415049e-01	6	8	14
bfe_341	1102.jpg	2	4.131456e-01	4	10	14
bfe_341	1103.jpg	3	6.200274e-01	9	5	14
bfe_341	1104.jpg	4	4.009926e-01	5	9	14
bfe_341	1105.jpg	5	4.300000e-01	6	8	14
bfe_341	1106.jpg	6	5.575157e-01	8	6	14
bfe_341	1107.jpg	7	2.640514e-01	3	11	14
bfe_341	1108.jpg	8	7.368209e-02	0	14	14
bfe_341	1109.jpg	9	4.799322e-01	8	6	14
bfe_341	1110.jpg	10	4.229183e-01	5	9	14
bfe_341	1111.jpg	11	3.593139e-01	4	10	14
bfe_341	1112.jpg	12	5.432194e-01	7	7	14
bfe_341	1113.jpg	13	2.117387e-01	2	12	14
bfe_341	1114.jpg	14	5.576627e-01	7	7	14
bfe_341	1115.jpg	15	3.589191e-01	5	9	14
bfe_341	1116.jpg	16	2.657199e-01	3	11	14
bfe_341	1117.jpg	17	4.472549e-01	8	6	14
bfe_341	1118.jpg	18	1.602732e-01	1	13	14
bfe_341	1119.jpg	19	1.480614e-01	1	13	14
bfe_341	1120.jpg	20	4.141656e-01	4	10	14
bfe_341	1121.jpg	21	5.734449e-01	9	5	14
bfe_341	1201.jpg	22	8.963484e-01	13	1	14
bfe_341	1202.jpg	23	7.074476e-01	10	4	14
bfe_341	1203.jpg	24	4.838583e-01	6	7	13
bfe_341	1204.jpg	25	7.426955e-01	11	3	14
bfe_341	1205.jpg	26	8.505007e-01	14	0	14
bfe_341	1206.jpg	27	9.248412e-01	14	0	14
bfe_341	1207.jpg	28	6.997864e-01	11	3	14
bfe_341	1208.jpg	29	4.906571e-01	8	6	14
bfe_341	1209.jpg	30	8.547760e-01	13	1	14
bfe_341	1210.jpg	31	6.485098e-01	10	4	14
bfe_341	1211.jpg	32	7.519878e-01	11	3	14
bfe_341	1212.jpg	33	4.668913e-01	6	8	14
bfe_341	1213.jpg	34	9.169978e-01	13	1	14
bfe_341	1214.jpg	35	7.422871e-01	11	3	14
bfe_341	1215.jpg	36	6.506225e-01	9	5	14
bfe_341	1216.jpg	37	8.308406e-01	13	1	14
bfe_341	1217.jpg	38	5.583395e-01	8	6	14
bfe_341	1218.jpg	39	6.838317e-01	11	3	14
bfe_341	1219.jpg	40	6.614707e-01	10	4	14
bfe_341	2101.jpg	41	2.925117e-01	3	11	14
bfe_341	2102.jpg	42	3.754952e-01	6	8	14
bfe_341	2103.jpg	43	4.246291e-01	4	9	13
bfe_341	2104.jpg	44	3.406418e-01	5	8	13
bfe_341	2105.jpg	45	2.660681e-01	3	11	14
bfe_341	2106.jpg	46	2.035267e-01	2	12	14
bfe_341	2107.jpg	47	2.160073e-01	3	11	14
bfe_341	2108.jpg	48	5.570390e-02	0	14	14
bfe_341	2109.jpg	49	4.411691e-01	8	6	14
bfe_341	2110.jpg	50	3.038595e-01	3	11	14
bfe_341	2111.jpg	51	4.826163e-01	8	6	14
bfe_341	2112.jpg	52	3.276268e-01	4	10	14
bfe_341	2113.jpg	53	2.446621e-01	3	11	14
bfe_341	2114.jpg	54	4.664943e-01	7	7	14
bfe_341	2115.jpg	55	3.531526e-01	5	9	14
bfe_341	2116.jpg	56	3.172132e-01	4	10	14
bfe_341	2117.jpg	57	1.723072e-01	3	11	14
bfe_341	2118.jpg	58	2.419910e-01	2	12	14
bfe_341	2119.jpg	59	3.142512e-01	2	11	13
bfe_341	2120.jpg	60	8.312796e-02	0	14	14
bfe_341	2121.jpg	61	3.841397e-01	3	10	13
bfe_341	2201.jpg	62	7.852172e-01	13	1	14
bfe_341	2202.jpg	63	6.103205e-01	9	5	14
bfe_341	2203.jpg	64	2.168782e-01	2	12	14
bfe_341	2204.jpg	65	5.909473e-01	9	5	14
bfe_341	2205.jpg	66	8.219842e-01	12	2	14
bfe_341	2206.jpg	67	8.150250e-01	12	2	14
bfe_341	2207.jpg	68	7.415376e-01	10	4	14
bfe_341	2208.jpg	69	3.613069e-01	4	10	14
bfe_341	2209.jpg	70	7.043147e-01	10	4	14
bfe_341	2210.jpg	71	4.858302e-01	7	7	14
bfe_341	2211.jpg	72	8.241339e-01	12	2	14
bfe_341	2212.jpg	73	5.713929e-01	9	5	14
bfe_341	2213.jpg	74	6.100135e-01	9	5	14
bfe_341	2214.jpg	75	6.841215e-01	9	4	13
bfe_341	2215.jpg	76	5.471323e-01	7	7	14
bfe_341	2216.jpg	77	8.757815e-01	12	2	14
bfe_341	2217.jpg	78	4.799298e-01	7	7	14
bfe_341	2218.jpg	79	5.314475e-01	7	7	14
bfe_341	2219.jpg	80	7.292571e-01	12	2	14
