subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
bfer_103	 1	 3	 2213.jpg	 3.045398e+02	 24	 999000	 240	 999000	 999	 3.055579e+02	 616.67	 550.00	 61.00	 34	 0.52	 
bfer_103	 1	 3	 2116.jpg	 3.075432e+02	 22	 7.993469e+02	 220	 5.500182e+02	 98	 3.085613e+02	 616.67	 566.67	 52.00	 16	 0.59	 
bfer_103	 1	 3	 1118.jpg	 3.115307e+02	 11	 9.478163e+02	 110	 6.166927e+02	 98	 3.125491e+02	 633.33	 566.67	 12.00	 18	 0.59	 
bfer_103	 1	 3	 1218.jpg	 3.135333e+02	 12	 999000	 120	 999000	 999	 3.145513e+02	 633.33	 566.67	 16.00	 39	 0.55	 
bfer_103	 1	 3	 1120.jpg	 3.155355e+02	 12	 999000	 120	 999000	 999	 3.165536e+02	 633.33	 566.67	 37.00	 20	 0.23	 
bfer_103	 1	 3	 1104.jpg	 3.195399e+02	 12	 999000	 120	 999000	 999	 3.205581e+02	 633.33	 566.67	 20.00	 4	 0.47	 
bfer_103	 1	 3	 1213.jpg	 3.215422e+02	 12	 999000	 120	 999000	 999	 3.225604e+02	 633.33	 566.67	 14.00	 34	 0.57	 
bfer_103	 1	 3	 1211.jpg	 3.265312e+02	 12	 999000	 120	 999000	 999	 3.275492e+02	 633.33	 566.67	 8.00	 32	 0.73	 
bfer_103	 1	 3	 1101.jpg	 3.285334e+02	 11	 9.130846e+02	 110	 6.333490e+02	 98	 3.295515e+02	 650.00	 566.67	 15.00	 1	 0.56	 
bfer_103	 1	 3	 1207.jpg	 3.315368e+02	 12	 999000	 120	 999000	 999	 3.325549e+02	 650.00	 566.67	 17.00	 28	 0.54	 
bfer_103	 1	 3	 2118.jpg	 3.345402e+02	 24	 999000	 240	 999000	 999	 3.355582e+02	 650.00	 566.67	 54.00	 18	 0.58	 
bfer_103	 1	 3	 2101.jpg	 3.385447e+02	 22	 8.458064e+02	 220	 5.666817e+02	 98	 3.395628e+02	 650.00	 583.33	 55.00	 1	 0.57	 
bfer_103	 1	 3	 2121.jpg	 3.415311e+02	 22	 8.593987e+02	 220	 5.833610e+02	 98	 3.425495e+02	 650.00	 600.00	 53.00	 21	 0.58	 
bfer_103	 1	 3	 1214.jpg	 3.435335e+02	 11	 8.489763e+02	 110	 6.500138e+02	 98	 3.445517e+02	 666.67	 600.00	 10.00	 35	 0.66	 
bfer_103	 1	 3	 2117.jpg	 3.465370e+02	 24	 999000	 240	 999000	 999	 3.475551e+02	 666.67	 600.00	 56.00	 17	 0.56	 
bfer_103	 1	 3	 2205.jpg	 3.505416e+02	 24	 999000	 240	 999000	 999	 3.515596e+02	 666.67	 600.00	 49.00	 26	 0.65	 
bfer_103	 1	 3	 2115.jpg	 3.535448e+02	 24	 999000	 240	 999000	 999	 3.545630e+02	 666.67	 600.00	 57.00	 15	 0.56	 
bfer_103	 1	 3	 1201.jpg	 3.555304e+02	 11	 8.761141e+02	 110	 6.666866e+02	 98	 3.565485e+02	 683.33	 600.00	 7.00	 22	 0.74	 
bfer_103	 1	 3	 2217.jpg	 3.575327e+02	 24	 999000	 240	 999000	 999	 3.585507e+02	 683.33	 600.00	 44.00	 38	 0.85	 
bfer_103	 1	 3	 2201.jpg	 3.625383e+02	 22	 9.402409e+02	 220	 6.000264e+02	 98	 3.635564e+02	 683.33	 616.67	 50.00	 22	 0.63	 
bfer_103	 1	 3	 2218.jpg	 3.665428e+02	 24	 999000	 240	 999000	 999	 3.675609e+02	 683.33	 616.67	 51.00	 39	 0.61	 
bfer_103	 1	 3	 2207.jpg	 3.705306e+02	 24	 999000	 240	 999000	 999	 3.715487e+02	 683.33	 616.67	 60.00	 28	 0.52	 
bfer_103	 1	 3	 1209.jpg	 3.765392e+02	 11	 9.312809e+02	 110	 6.833580e+02	 98	 3.775554e+02	 700.00	 616.67	 13.00	 30	 0.57	 
bfer_103	 1	 3	 2112.jpg	 3.785396e+02	 24	 999000	 240	 999000	 999	 3.795577e+02	 700.00	 616.67	 77.00	 12	 0.22	 
bfer_103	 1	 3	 1107.jpg	 3.805419e+02	 12	 999000	 120	 999000	 999	 3.815601e+02	 700.00	 616.67	 21.00	 7	 0.47	 
bfer_103	 1	 3	 1103.jpg	 3.825441e+02	 12	 999000	 120	 999000	 999	 3.835622e+02	 700.00	 616.67	 11.00	 3	 0.64	 
bfer_103	 1	 3	 2104.jpg	 3.845293e+02	 24	 999000	 240	 999000	 999	 3.855477e+02	 700.00	 616.67	 62.00	 4	 0.51	 
bfer_103	 1	 3	 1105.jpg	 3.885346e+02	 12	 999000	 120	 999000	 999	 3.895523e+02	 700.00	 616.67	 22.00	 5	 0.45	 
bfer_103	 1	 3	 2103.jpg	 3.905364e+02	 24	 999000	 240	 999000	 999	 3.915546e+02	 700.00	 616.67	 48.00	 3	 0.76	 
bfer_103	 1	 3	 1203.jpg	 3.945408e+02	 12	 999000	 120	 999000	 999	 3.955590e+02	 700.00	 616.67	 38.00	 24	 0.20	 
bfer_103	 1	 3	 1204.jpg	 3.965431e+02	 12	 999000	 120	 999000	 999	 3.975612e+02	 700.00	 616.67	 19.00	 25	 0.53	 
bfer_103	 1	 3	 2107.jpg	 3.985454e+02	 22	 9.010787e+02	 220	 6.166881e+02	 98	 3.995635e+02	 700.00	 633.33	 47.00	 7	 0.76	 
bfer_103	 1	 3	 1216.jpg	 4.005309e+02	 12	 999000	 120	 999000	 999	 4.015490e+02	 700.00	 633.33	 9.00	 37	 0.68	 
bfer_103	 1	 3	 2111.jpg	 4.055366e+02	 24	 999000	 240	 999000	 999	 4.065547e+02	 700.00	 633.33	 59.00	 11	 0.54	 
bfer_103	 1	 3	 1121.jpg	 4.075388e+02	 12	 999000	 120	 999000	 999	 4.085569e+02	 700.00	 633.33	 3.00	 21	 0.78	 
bfer_103	 1	 3	 1206.jpg	 4.095411e+02	 12	 999000	 120	 999000	 999	 4.105592e+02	 700.00	 633.33	 4.00	 27	 0.77	 
bfer_103	 1	 3	 2110.jpg	 4.125444e+02	 24	 999000	 240	 999000	 999	 4.135625e+02	 700.00	 633.33	 78.00	 10	 0.21	 
bfer_103	 1	 3	 1115.jpg	 4.195356e+02	 11	 9.668647e+02	 110	 7.000150e+02	 98	 4.205537e+02	 716.67	 633.33	 18.00	 15	 0.53	 
bfer_103	 1	 3	 2208.jpg	 4.235401e+02	 24	 999000	 240	 999000	 999	 4.245582e+02	 716.67	 633.33	 43.00	 29	 0.87	 
bfer_103	 1	 3	 2202.jpg	 4.305313e+02	 22	 8.752157e+02	 220	 6.333582e+02	 98	 4.315495e+02	 716.67	 650.00	 58.00	 23	 0.55	 
