subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
bfer_123	 1	 6	 2114.jpg	 7.779334e+02	 24	 999000	 240	 999000	 999	 7.789518e+02	 850.00	 783.33	 49.00	 14	 0.70	 
bfer_123	 1	 6	 2209.jpg	 7.809370e+02	 24	 999000	 240	 999000	 999	 7.819552e+02	 850.00	 783.33	 57.00	 30	 0.56	 
bfer_123	 1	 6	 2214.jpg	 7.849246e+02	 24	 999000	 240	 999000	 999	 7.859429e+02	 850.00	 783.33	 61.00	 35	 0.50	 
bfer_123	 1	 6	 1115.jpg	 7.869271e+02	 12	 7.917343e+02	 12	 999000	 98	 7.879453e+02	 850.00	 783.33	 21.00	 15	 0.50	 
bfer_123	 1	 6	 1203.jpg	 7.889294e+02	 12	 999000	 120	 999000	 999	 7.899477e+02	 850.00	 783.33	 38.00	 24	 0.18	 
bfer_123	 1	 6	 1219.jpg	 7.929338e+02	 12	 999000	 120	 999000	 999	 7.939520e+02	 850.00	 783.33	 3.00	 40	 0.82	 
bfer_123	 1	 6	 2219.jpg	 7.949362e+02	 24	 999000	 240	 999000	 999	 7.959542e+02	 850.00	 783.33	 51.00	 40	 0.65	 
bfer_123	 1	 6	 1110.jpg	 7.999248e+02	 12	 999000	 120	 999000	 999	 8.009432e+02	 850.00	 783.33	 8.00	 10	 0.68	 
bfer_123	 1	 6	 1120.jpg	 8.019272e+02	 11	 5.756122e+02	 11	 8.500235e+02	 98	 8.029621e+02	 866.67	 783.33	 15.00	 20	 0.64	 
bfer_123	 1	 6	 2205.jpg	 8.049307e+02	 24	 999000	 240	 999000	 999	 8.059487e+02	 866.67	 783.33	 48.00	 26	 0.70	 
bfer_123	 1	 6	 2113.jpg	 8.079340e+02	 24	 999000	 240	 999000	 999	 8.089522e+02	 866.67	 783.33	 78.00	 13	 0.21	 
bfer_123	 1	 6	 1101.jpg	 8.119385e+02	 12	 7.083831e+02	 12	 999000	 98	 8.129566e+02	 866.67	 783.33	 4.00	 1	 0.76	 
bfer_123	 1	 6	 1119.jpg	 8.149250e+02	 12	 999000	 120	 999000	 999	 8.159433e+02	 866.67	 783.33	 19.00	 19	 0.54	 
bfer_123	 1	 6	 1206.jpg	 8.169274e+02	 12	 999000	 120	 999000	 999	 8.179455e+02	 866.67	 783.33	 16.00	 27	 0.63	 
bfer_123	 1	 6	 2105.jpg	 8.199308e+02	 24	 999000	 240	 999000	 999	 8.209491e+02	 866.67	 783.33	 77.00	 5	 0.22	 
bfer_123	 1	 6	 1121.jpg	 8.239353e+02	 12	 999000	 120	 999000	 999	 8.249535e+02	 866.67	 783.33	 11.00	 21	 0.66	 
bfer_123	 1	 6	 1211.jpg	 8.269386e+02	 11	 999000	 1	 8.666840e+02	 999	 8.279903e+02	 816.67	 783.33	 7.00	 32	 0.71	 
bfer_123	 1	 6	 2109.jpg	 8.289409e+02	 24	 999000	 240	 999000	 999	 8.299590e+02	 816.67	 783.33	 60.00	 9	 0.51	 
bfer_123	 1	 6	 1207.jpg	 8.309266e+02	 12	 999000	 120	 999000	 999	 8.319446e+02	 816.67	 783.33	 9.00	 28	 0.67	 
bfer_123	 1	 6	 1213.jpg	 8.359321e+02	 12	 8.748107e+02	 12	 999000	 98	 8.369502e+02	 816.67	 783.33	 20.00	 34	 0.51	 
bfer_123	 1	 6	 2215.jpg	 8.399367e+02	 24	 6.941922e+02	 24	 999000	 98	 8.409547e+02	 816.67	 783.33	 43.00	 36	 0.86	 
bfer_123	 1	 6	 2115.jpg	 8.439411e+02	 22	 999000	 2	 7.833578e+02	 999	 8.449592e+02	 816.67	 733.33	 55.00	 15	 0.57	 
bfer_123	 1	 6	 1201.jpg	 8.499312e+02	 11	 6.916007e+02	 11	 8.166865e+02	 98	 8.509493e+02	 833.33	 733.33	 12.00	 22	 0.66	 
bfer_123	 1	 6	 2216.jpg	 8.519334e+02	 22	 999000	 2	 7.333596e+02	 999	 8.529515e+02	 833.33	 683.33	 47.00	 37	 0.78	 
