subjectID	 runtrial	 onsettime	 ImageLeft	 ImageRight	 StimNumLeft	 StimNumRight	 Response	 Outcome	 RT
bfer_154	1	5.170542e-01	1108.jpg	2218.jpg	8	79	i	0	8.189765e+02
bfer_154	2	3.520395e+00	2110.jpg	2206.jpg	50	67	u	0	1.055635e+03
bfer_154	3	6.523722e+00	1114.jpg	2202.jpg	14	63	u	0	9.723077e+02
bfer_154	4	9.527116e+00	2101.jpg	1113.jpg	41	13	i	0	8.969059e+02
bfer_154	5	1.253047e+01	1114.jpg	1115.jpg	14	15	u	0	1.037547e+03
bfer_154	6	1.551688e+01	1105.jpg	1210.jpg	5	31	u	0	8.831509e+02
bfer_154	7	1.852048e+01	2212.jpg	1114.jpg	73	14	i	0	1.143548e+03
bfer_154	8	2.152387e+01	2115.jpg	2108.jpg	55	48	u	0	1.044160e+03
bfer_154	9	2.452729e+01	2217.jpg	1213.jpg	78	34	i	0	9.367284e+02
bfer_154	10	2.753073e+01	1204.jpg	2106.jpg	25	46	u	0	8.372996e+02
bfer_154	11	3.051739e+01	2217.jpg	2120.jpg	78	60	u	0	8.906400e+02
bfer_154	12	3.353745e+01	1110.jpg	2208.jpg	10	69	u	0	9.265757e+02
bfer_154	13	3.652406e+01	2116.jpg	1119.jpg	56	19	u	0	1.515958e+03
bfer_154	14	3.952748e+01	2117.jpg	1109.jpg	57	9	i	0	8.645426e+02
bfer_154	15	4.253081e+01	2108.jpg	1208.jpg	48	29	i	0	7.172266e+02
bfer_154	16	4.551752e+01	1201.jpg	1205.jpg	22	26	u	0	1.210516e+03
bfer_154	17	4.852093e+01	2115.jpg	1108.jpg	55	8	i	0	6.470966e+02
bfer_154	18	5.152427e+01	1106.jpg	1101.jpg	6	1	i	0	9.317519e+02
bfer_154	19	5.452757e+01	2115.jpg	1121.jpg	55	21	i	0	7.604611e+02
bfer_154	20	5.753097e+01	1217.jpg	2202.jpg	38	63	u	0	9.090687e+02
bfer_154	21	6.051775e+01	1112.jpg	2120.jpg	12	60	u	0	8.582862e+02
bfer_154	22	6.352102e+01	2116.jpg	2214.jpg	56	75	u	0	9.110348e+02
bfer_154	23	6.652438e+01	1107.jpg	1109.jpg	7	9	i	0	1.251657e+03
bfer_154	24	6.952775e+01	2205.jpg	1114.jpg	66	14	i	0	8.162802e+02
bfer_154	25	7.253123e+01	2118.jpg	2216.jpg	58	77	i	0	1.092800e+03
bfer_154	26	7.551784e+01	2208.jpg	2211.jpg	69	72	i	0	1.138198e+03
bfer_154	27	7.852121e+01	2204.jpg	1106.jpg	65	6	i	0	8.468364e+02
bfer_154	28	8.152468e+01	2105.jpg	2103.jpg	45	43	i	0	1.083357e+03
bfer_154	29	8.452796e+01	2217.jpg	1218.jpg	78	39	i	0	9.680756e+02
bfer_154	30	8.753134e+01	1114.jpg	1101.jpg	14	1	u	0	1.140685e+03
bfer_154	31	9.051810e+01	1207.jpg	2210.jpg	28	71	i	0	1.081931e+03
bfer_154	32	9.352141e+01	1105.jpg	1218.jpg	5	39	i	0	1.182616e+03
bfer_154	33	9.652485e+01	2209.jpg	1115.jpg	70	15	i	0	1.139185e+03
bfer_154	34	9.952818e+01	2210.jpg	1214.jpg	71	35	i	0	1.231845e+03
bfer_154	35	1.025315e+02	2117.jpg	1108.jpg	57	8	i	0	8.605270e+02
bfer_154	36	1.055182e+02	1107.jpg	1203.jpg	7	24	i	0	1.025841e+03
bfer_154	37	1.085215e+02	1104.jpg	1211.jpg	4	32	u	0	1.062514e+03
bfer_154	38	1.115250e+02	1216.jpg	1201.jpg	37	22	u	0	9.950668e+02
bfer_154	39	1.145296e+02	1101.jpg	2211.jpg	1	72	u	0	7.744730e+02
bfer_154	40	1.175317e+02	1107.jpg	2201.jpg	7	62	i	0	1.196373e+03
bfer_154	41	1.205184e+02	2109.jpg	2103.jpg	49	43	i	0	1.049646e+03
bfer_154	42	1.235218e+02	2207.jpg	2107.jpg	68	47	i	0	9.102077e+02
bfer_154	43	1.265252e+02	1215.jpg	2217.jpg	36	78	i	0	1.210870e+03
bfer_154	44	1.295285e+02	1101.jpg	1209.jpg	1	30	i	0	1.039510e+03
bfer_154	45	1.325319e+02	1203.jpg	2210.jpg	24	71	u	0	1.140177e+03
bfer_154	46	1.355186e+02	1202.jpg	1112.jpg	23	12	u	0	8.974382e+02
bfer_154	47	1.385219e+02	2105.jpg	1210.jpg	45	31	i	0	9.181269e+02
bfer_154	48	1.415253e+02	2217.jpg	2215.jpg	78	76	i	0	9.387666e+02
bfer_154	49	1.445287e+02	2112.jpg	1211.jpg	52	32	i	0	8.553550e+02
bfer_154	50	1.475320e+02	1219.jpg	1117.jpg	40	17	u	0	7.560390e+02
bfer_154	51	1.505188e+02	2110.jpg	1107.jpg	50	7	i	0	9.932247e+02
bfer_154	52	1.535221e+02	2114.jpg	2105.jpg	54	45	i	0	9.978951e+02
bfer_154	53	1.565257e+02	1115.jpg	1201.jpg	15	22	u	0	9.462859e+02
bfer_154	54	1.595288e+02	1110.jpg	1204.jpg	10	25	u	0	9.912272e+02
bfer_154	55	1.625325e+02	1213.jpg	1112.jpg	34	12	u	0	9.955590e+02
bfer_154	56	1.655189e+02	2214.jpg	1210.jpg	75	31	u	0	1.113169e+03
bfer_154	57	1.685222e+02	2111.jpg	2203.jpg	51	64	u	0	1.077792e+03
bfer_154	58	1.715257e+02	2111.jpg	2115.jpg	51	55	u	0	9.463377e+02
bfer_154	59	1.745290e+02	2121.jpg	2116.jpg	61	56	u	0	1.103045e+03
bfer_154	60	1.775155e+02	1121.jpg	2211.jpg	21	72	u	0	9.245717e+02
bfer_154	61	1.805191e+02	2202.jpg	2102.jpg	63	42	u	0	9.449661e+02
bfer_154	62	1.835225e+02	1113.jpg	2201.jpg	13	62	u	0	8.215841e+02
bfer_154	63	1.865258e+02	2115.jpg	1208.jpg	55	29	i	0	8.821943e+02
bfer_154	64	1.895293e+02	2118.jpg	2121.jpg	58	61	i	0	1.030784e+03
bfer_154	65	1.925155e+02	2201.jpg	2211.jpg	62	72	u	0	1.228501e+03
bfer_154	66	1.955192e+02	1205.jpg	2219.jpg	26	80	u	0	9.927804e+02
bfer_154	67	1.985226e+02	1116.jpg	1206.jpg	16	27	i	0	1.149473e+03
bfer_154	68	2.015260e+02	2208.jpg	2205.jpg	69	66	i	0	1.690020e+03
bfer_154	69	2.045294e+02	1104.jpg	2214.jpg	4	75	i	0	1.318649e+03
bfer_154	70	2.075160e+02	1202.jpg	2213.jpg	23	74	u	0	9.320571e+02
bfer_154	71	2.105194e+02	2118.jpg	1205.jpg	58	26	i	0	8.326333e+02
bfer_154	72	2.135228e+02	2210.jpg	1201.jpg	71	22	i	0	1.021194e+03
bfer_154	73	2.165261e+02	2215.jpg	1209.jpg	76	30	i	0	8.738923e+02
bfer_154	74	2.195295e+02	2211.jpg	2114.jpg	72	54	i	0	9.745561e+02
bfer_154	75	2.225175e+02	1108.jpg	1217.jpg	8	38	i	0	9.145076e+02
bfer_154	76	2.255195e+02	1102.jpg	1118.jpg	2	18	u	0	1.064493e+03
bfer_154	77	2.285230e+02	2218.jpg	1117.jpg	79	17	i	0	1.125076e+03
bfer_154	78	2.315263e+02	1111.jpg	2113.jpg	11	53	u	0	8.977130e+02
bfer_154	79	2.345297e+02	2219.jpg	2204.jpg	80	65	i	0	8.463150e+02
bfer_154	80	2.375164e+02	2215.jpg	2205.jpg	76	66	i	0	1.203584e+03
bfer_154	81	2.405197e+02	2120.jpg	2110.jpg	60	50	i	0	1.032323e+03
bfer_154	82	2.435231e+02	2204.jpg	2113.jpg	65	53	i	0	9.649383e+02
bfer_154	83	2.465265e+02	1207.jpg	2219.jpg	28	80	i	0	1.121486e+03
