subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
bfer_167	 1	 15	 2102.jpg	 5.102537e+02	 24	 999000	 240	 999000	 999	 5.112718e+02	 550.00	 616.67	 61.00	 2	 0.54	 
bfer_167	 1	 15	 2201.jpg	 5.122559e+02	 22	 8.709632e+02	 220	 6.166840e+02	 98	 5.132741e+02	 550.00	 633.33	 52.00	 22	 0.63	 
bfer_167	 1	 15	 1203.jpg	 5.162435e+02	 12	 999000	 120	 999000	 999	 5.172619e+02	 550.00	 633.33	 22.00	 24	 0.48	 
bfer_167	 1	 15	 1118.jpg	 5.192472e+02	 11	 8.797306e+02	 110	 5.500317e+02	 98	 5.202653e+02	 566.67	 633.33	 15.00	 18	 0.59	 
bfer_167	 1	 15	 2113.jpg	 5.212495e+02	 22	 3.414285e+02	 22	 6.333623e+02	 98	 5.222675e+02	 566.67	 650.00	 55.00	 13	 0.61	 
bfer_167	 1	 15	 2213.jpg	 5.242528e+02	 24	 999000	 240	 999000	 999	 5.252709e+02	 566.67	 650.00	 44.00	 34	 0.73	 
bfer_167	 1	 15	 1219.jpg	 5.282573e+02	 12	 999000	 120	 999000	 999	 5.292754e+02	 566.67	 650.00	 11.00	 40	 0.63	 
bfer_167	 1	 15	 1121.jpg	 5.322448e+02	 11	 9.381014e+02	 110	 5.666858e+02	 98	 5.332632e+02	 583.33	 650.00	 10.00	 21	 0.63	 
bfer_167	 1	 15	 2114.jpg	 5.342473e+02	 24	 999000	 240	 999000	 999	 5.352655e+02	 583.33	 650.00	 56.00	 14	 0.60	 
bfer_167	 1	 15	 2118.jpg	 5.392530e+02	 24	 999000	 240	 999000	 999	 5.402711e+02	 583.33	 650.00	 57.00	 18	 0.59	 
bfer_167	 1	 15	 2215.jpg	 5.412552e+02	 24	 999000	 240	 999000	 999	 5.422734e+02	 583.33	 650.00	 77.00	 36	 0.17	 
bfer_167	 1	 15	 1114.jpg	 5.432574e+02	 12	 999000	 120	 999000	 999	 5.442756e+02	 583.33	 650.00	 16.00	 14	 0.54	 
bfer_167	 1	 15	 2204.jpg	 5.492475e+02	 22	 1.015398e+03	 2200	 6.500293e+02	 98	 5.502657e+02	 583.33	 600.00	 58.00	 25	 0.57	 
bfer_167	 1	 15	 1217.jpg	 5.512498e+02	 12	 999000	 120	 999000	 999	 5.522679e+02	 583.33	 600.00	 21.00	 38	 0.48	 
bfer_167	 1	 15	 2217.jpg	 5.532520e+02	 24	 999000	 240	 999000	 999	 5.542702e+02	 583.33	 600.00	 60.00	 38	 0.55	 
bfer_167	 1	 15	 1206.jpg	 5.552543e+02	 12	 999000	 120	 999000	 999	 5.562723e+02	 583.33	 600.00	 20.00	 27	 0.48	 
bfer_167	 1	 15	 2219.jpg	 5.592588e+02	 24	 999000	 240	 999000	 999	 5.602769e+02	 583.33	 600.00	 49.00	 40	 0.64	 
bfer_167	 1	 15	 1209.jpg	 5.632465e+02	 11	 8.883470e+02	 110	 5.833472e+02	 98	 5.642647e+02	 600.00	 600.00	 12.00	 30	 0.60	 
bfer_167	 1	 15	 2108.jpg	 5.662499e+02	 24	 999000	 240	 999000	 999	 5.672681e+02	 600.00	 600.00	 62.00	 8	 0.54	 
bfer_167	 1	 15	 1101.jpg	 5.702544e+02	 12	 999000	 120	 999000	 999	 5.712727e+02	 600.00	 600.00	 37.00	 1	 0.32	 
